天真	"(tiān zhēn)
Innocent"
托付	"(tuō fù)
Entrust"
踮	"(diǎn)
Tiptoe"
乖巧	"(guāi qiǎo)
Clever"
蹒跚	"(pán shān)
stumble"
生面孔	"(shēng miàn kǒng)
Raw face"
哑巴	"(yǎ bā)
Dumb"
幼小	"(yòu xiǎo)
Young"
尽头	"(jǐn tóu)
The end"
脑瓜儿	"(nǎo guā ér)
Brain"
伴随	"(bàn suí)
Accompanying"
委屈	"(wěi qū)
Wronged"
拆散	"(chāi sàn)
break up"
两全	"(liǎng quán)
Both"
重大	"(zhòng dà)
major"
刹那	"(shā nà)
moment"
取决	"(qǔ jué)
Depends on"
平坦	"(píng tǎn)
flat"
分歧	"(fēn qí)
Disagreement"
分期	"(fēn qī)
Staging"
随意	"(suí yì)
random"
毕竟	"(bì jìng)
after all"
信服	"(xìn fú)
convince"
如此	"(rú cǐ)
in this way"
田野	"(tián yě)
field"
临时	"(lín shí)
temporary"
事件	"(shì jiàn)
event"
